Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/cin/create/1,515,2,44,1008.0667537786777,11.47911700172699,13314.676304000386,3.029126213592233,0.0714998999685158,0.0002776695144408381,44,79,470,1100,3400,7000,10000,12000,13000,13000,13000
POST,/cin/create/10,498,1,44,900.3223780702634,12.031844999000896,13088.071057001798,3.036144578313253,0.06913970909576868,0.00013883475722041905,44,63,360,890,3900,5900,8200,9100,13000,13000,13000
POST,/cin/create/100,539,5,45,861.5831651465916,10.469394999745418,10714.603983000416,3.1669758812615956,0.07483193414180586,0.0006941737861020952,45,99,670,1200,3500,5000,7500,8600,11000,11000,11000
POST,/cin/create/101,565,0,45,1142.3168366247955,14.335158999529085,16024.792565998723,3.0,0.07844163782953675,0.0,45,84,600,1200,4200,7800,10000,11000,16000,16000,16000
POST,/cin/create/102,531,2,45,1109.7530186873892,14.669426000182284,13131.689883000945,3.047080979284369,0.07372125608404251,0.0002776695144408381,45,85,760,1600,4000,6800,9700,11000,13000,13000,13000
POST,/cin/create/103,524,2,44,991.4359135897181,13.484756998877856,13394.592824999563,3.068702290076336,0.07274941278349958,0.0002776695144408381,44,89,700,1400,3700,6000,8700,9800,13000,13000,13000
POST,/cin/create/104,558,3,44,860.5009035429805,11.42712399996526,13190.651216000333,3.096774193548387,0.07746979452899383,0.0004165042716612571,44,81,400,940,3000,5900,8100,9500,13000,13000,13000
POST,/cin/create/105,557,3,44,1059.1741896122335,2.24244200035173,13222.87000399956,3.059245960502693,0.07733095977177341,0.0004165042716612571,44,72,540,1200,4300,6500,8800,11000,13000,13000,13000
POST,/cin/create/106,533,2,44,1004.7581701444525,11.953569999604952,15456.965043998935,3.028142589118199,0.07399892559848335,0.0002776695144408381,44,77,490,920,3400,6600,9500,11000,15000,15000,15000
POST,/cin/create/107,514,3,43,949.1960693618333,11.146627999551129,14204.849226000078,3.124513618677043,0.07136106521129539,0.0004165042716612571,43,59,290,850,3600,6700,9100,11000,14000,14000,14000
POST,/cin/create/108,507,1,43,893.0140510650998,13.112887998431688,12254.833607999899,3.035502958579882,0.07038922191075246,0.00013883475722041905,43,57,390,760,3000,5700,9500,12000,12000,12000,12000
POST,/cin/create/109,509,1,43,1000.7998377387186,10.631649000060861,14102.558362999844,3.0353634577603144,0.07066689142519329,0.00013883475722041905,43,71,400,770,3900,6700,9400,11000,14000,14000,14000
POST,/cin/create/11,576,5,45,912.3851789530921,10.507981998671312,12127.834326000084,3.0833333333333335,0.07996882015896137,0.0006941737861020952,45,100,680,1100,3200,5100,8500,9300,12000,12000,12000
POST,/cin/create/110,527,3,46,867.0442470797395,9.342125998955453,11139.600938999138,3.062618595825427,0.07316591705516083,0.0004165042716612571,46,73,420,1000,3300,5400,8400,9600,11000,11000,11000
POST,/cin/create/111,536,4,45,1130.0834449048157,14.368623000336811,12907.669741000063,3.1343283582089554,0.0744154298701446,0.0005553390288816762,45,130,650,1300,4000,7400,9900,12000,13000,13000,13000
POST,/cin/create/112,516,1,43,811.6436645736342,12.873812000179896,11954.404497000723,3.0348837209302326,0.07163873472573623,0.00013883475722041905,43,56,290,700,2800,5200,8200,10000,12000,12000,12000
